"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0009615","response to virus","21/128","425/18986",0.0494117647058823,7.3291544117647,10.871812174638,9.33250896456413e-13,2.29766370707569e-09,1.87534311719504e-09,"FGL2/NMI/OAS2/CASP1/UNC13D/DDX60/GBP2/IFI16/ITGAX/DTX3L/PTPRC/ISG15/MX1/NFKB1/NPC2/RNASE2/DMBT1/PARP9/TRIM21/GBP1/PLSCR1",21
"GO:0051607","defense response to virus","18/128","320/18986",0.05625,8.34345703125,10.9147146533621,5.31487350181732e-12,6.54260928073711e-09,5.34004921840487e-09,"FGL2/OAS2/CASP1/UNC13D/DDX60/GBP2/IFI16/ITGAX/DTX3L/PTPRC/ISG15/MX1/RNASE2/DMBT1/PARP9/TRIM21/GBP1/PLSCR1",18
"GO:0042742","defense response to bacterium","14/128","342/18986",0.0409356725146199,6.0719115497076,7.79789973824649,7.93486379825827e-08,6.51187822377062e-05,5.31496666346493e-05,"OAS2/CASP1/GBP2/GSDMB/RNASE3/PLA2G2A/ISG15/HLA-A/NFKB1/STAB1/OPTN/DMBT1/GBP1/PGLYRP2",14
"GO:0002274","myeloid leukocyte activation","12/128","247/18986",0.048582995951417,7.20622469635628,8.08844871259105,1.12603470367713e-07,6.93074360113274e-05,5.65684276136748e-05,"NMI/UNC13D/PTPRC/IL16/PLA2G2A/DOCK2/PLSCR1/S100A13/LYN/DYSF/CD74/ITGB2",12
"GO:0050777","negative regulation of immune response","11/128","207/18986",0.0531400966183575,7.88217089371981,8.20232293870429,1.58561893022839e-07,7.80758761244457e-05,6.37251902695997e-05,"FGL2/NMI/IFI16/SERPINB9/PTPRC/ISG15/HLA-A/TRIM21/PARP14/PGLYRP2/LYN",11
"GO:0032102","negative regulation of response to external stimulus","15/128","437/18986",0.034324942791762,5.09135440503433,7.12869507916285,2.61182091196875e-07,0.000107171718087784,8.7473089841199e-05,"FGL2/CD109/NMI/NRP1/IFI16/SERPINB9/PTPRC/ISG15/HLA-A/NFKB1/TRIM21/PARP14/REG3A/LYN/PRKG1",15
"GO:0002429","immune response-activating cell surface receptor signaling pathway","13/128","336/18986",0.0386904761904762,5.73888578869048,7.22052760069337,4.51040421351911e-07,0.000158637359624058,0.00012947912246027,"NMI/VAV1/HLA-DQB1/HLA-DPB1/PTPRC/THEMIS2/HLA-A/NFKB1/GBP1/MYO1G/PLSCR1/LYN/CD38",13
"GO:0006909","phagocytosis","11/128","239/18986",0.0460251046025105,6.82681746861925,7.46838923359521,6.66812521316054e-07,0.000205211553435016,0.000167492776735835,"UNC13D/PECAM1/VAV1/PTPRC/C4B/DOCK2/MYO1G/PLSCR1/LYN/DYSF/ITGB2",11
"GO:0031348","negative regulation of defense response","12/128","297/18986",0.0404040404040404,5.99305555555556,7.14519459107565,8.11203657198588e-07,0.000208156561878141,0.000169896479809043,"FGL2/NMI/IFI16/SERPINB9/PTPRC/ISG15/HLA-A/NFKB1/TRIM21/PARP14/REG3A/LYN",12
"GO:0007229","integrin-mediated signaling pathway","8/128","111/18986",0.0720720720720721,10.6903153153153,8.43564680822404,8.45477505597648e-07,0.000208156561878141,0.000169896479809043,"NRP1/ITGA7/VAV1/ITGAX/ISG15/LAMB2/ITGB2/LAMA5",8
