"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0007159","leukocyte cell-cell adhesion","108/1059","430/18986",0.251162790697674,4.50290532973187,17.857469521453,9.50883349409967e-42,4.86471921558139e-38,3.48623863788938e-38,"VCAM1/TWSG1/MSN/CXCL12/SMARCD3/CORO1A/ITGA4/TNFAIP8L2/PTAFR/KITLG/TNFSF13B/JAM2/THY1/CCR2/LAPTM5/RIPOR2/NCKAP1L/GPNMB/CD1D/PECAM1/VAV1/PTPRC/LILRB1/IL15/CCL19/IGF1/AIF1/VSIG4/SASH3/IL6ST/PDCD1LG2/HAVCR2/RAC2/CD28/FYN/LEF1/TIGIT/LGALS1/HLA-DRA/SPN/CD300A/CD86/ETS1/TGFB1/CD74/CD4/KLRK1/SLAMF1/HLA-DMA/HLA-DMB/ITGB2/ITGB7/B2M/PRKCQ/CERCAM/CCL5/SELPLG/FGL2/SELL/CTSG/LILRB4/HLA-DOA/RASAL3/HLX/SELP/CD3E/HLA-DPB1/CD209/CHST2/ICOS/ANXA1/JAK2/CCR7/CD83/HLA-DPA1/SIRPG/IL2RA/CD274/PTPN22/RASGRP1/RHOH/ZAP70/CAV1/CD70/CD6/ITGAL/CCL2/CD5/HLA-A/IL23A/LILRB2/IL12RB1/CD27/HLA-DRB1/DOCK8/JAK3/CTLA4/EBI3/SIRPB1/LCK/HFE/CCL21/CD69/ITGA5/LAX1/HLA-DOB/IL4I1/VNN1",108
"GO:0002768","immune response-regulating cell surface receptor signaling pathway","96/1059","369/18986",0.260162601626016,4.66425604765963,17.2760168340107,1.56723478250133e-38,3.10190717706117e-35,2.22294199779928e-35,"LPXN/BTK/RFTN1/KIT/MEF2C/CD72/LY96/KLRD1/THY1/LAT2/LAPTM5/TLR1/FCGR2B/NCKAP1L/SCIMP/TLR6/BTN3A3/CD40/MS4A1/KLHL6/FCER1G/VAV1/PTPRC/LILRB1/CD226/TYROBP/PRKCB/CD33/CMKLR1/FPR3/PIK3CD/CD28/FYN/CD79B/TRAT1/MNDA/LIPA/CMTM3/FCMR/FCGR3A/PLCL2/THEMIS2/NFAM1/CD300A/TLR5/CD14/SH2D1A/TLR2/CLEC7A/KLRK1/NMI/ITGAM/LAT/C3AR1/PRKCQ/CD200R1/CD247/MICB/HCK/LILRB4/ITK/FGR/CD3E/GBP1/FCGR1A/HLA-DPB1/BTN3A1/CD3D/CD8B/C3/CCR7/MYO1G/CD38/CD8A/CD3G/BTN3A2/PTPN22/BCL2/PLCG2/ZAP70/PIK3AP1/SLA2/HLA-A/LILRB2/IFI35/LCP2/HLA-DRB1/CTLA4/FCER1A/TREM2/CD79A/LCK/FPR1/CLEC4E/BANK1/LAX1",96
"GO:0050863","regulation of T cell activation","99/1059","393/18986",0.251908396946565,4.51627273317043,17.1199923013592,2.08002417518657e-38,3.10190717706117e-35,2.22294199779928e-35,"VCAM1/TWSG1/SMARCD3/CORO1A/TNFAIP8L2/KITLG/TNFSF13B/THY1/CCR2/LAPTM5/ZEB1/RIPOR2/NCKAP1L/GPNMB/CD1D/VAV1/PTPRC/LILRB1/IL15/CCL19/IGF1/AIF1/TNFSF8/VSIG4/SASH3/IL6ST/PDCD1LG2/HAVCR2/RAC2/CD28/FYN/LEF1/TIGIT/LGALS1/HLA-DRA/SPN/CD300A/CD86/TGFB1/CD74/CD4/KLRK1/SLAMF1/LAT/HLA-DMA/HLA-DMB/B2M/PRKCQ/CCL5/FGL2/CTSG/LILRB4/HLA-DOA/RASAL3/HLX/CD3E/HLA-DPB1/CD209/CD2/ICOS/ANXA1/SIT1/JAK2/CCR7/CD83/HLA-DPA1/SIRPG/IL2RA/CD274/PTPN22/RASGRP1/RHOH/ZAP70/CAV1/CD70/CD6/CCL2/CD5/HLA-A/IL23A/LILRB2/IL12RB1/BATF/CD27/HLA-DRB1/DOCK8/JAK3/CTLA4/EBI3/SIRPB1/LCK/HFE/IRF4/CCL21/CD69/LAX1/HLA-DOB/IL4I1/VNN1",99
"GO:0070661","leukocyte proliferation","92/1059","341/18986",0.269794721407625,4.83694294678485,17.3772403782421,2.42525971623234e-38,3.10190717706117e-35,2.22294199779928e-35,"BTK/HHEX/KIT/MEF2C/VCAM1/TWSG1/MSN/CORO1A/KITLG/TNFSF13B/CD180/CCR2/RIPOR2/FCGR2B/NCKAP1L/RASSF5/GPNMB/CD1D/CD40/GAPT/MS4A1/PTPRC/LILRB1/GJA1/IL15/CCL19/LST1/IGF1/AIF1/TNFSF8/GREM1/CSF1R/TYROBP/VSIG4/SASH3/IL6ST/PDCD1LG2/HAVCR2/PIK3CG/RAC2/CD28/FYN/LEF1/MNDA/LIPA/DOCK2/CSF2RB/FCGR3A/PLCL2/BST2/SPN/CD300A/CD86/TGFB1/CD74/SLAMF1/CSF2RA/HLA-DMB/CSF1/PRKCQ/CCL5/LILRB4/RASAL3/CD3E/HLA-DPB1/CD209/BTN3A1/ANXA1/JAK2/HLA-DPA1/CD38/IL2RA/CD274/PTPN22/RASGRP1/BCL2/ZAP70/CD70/CD6/HLA-A/IL23A/LILRB2/IL12RB1/IKZF3/HLA-DRB1/DOCK8/CTLA4/CCL8/TREM2/EBI3/CD79A/IL4I1",92
"GO:0050867","positive regulation of cell activation","98/1059","391/18986",0.250639386189258,4.49352161113244,16.9649737920151,8.02962728102772e-38,8.21591463394756e-35,5.88782985680411e-35,"ACTA2/BTK/MEF2C/VCAM1/LRRK2/DDR2/SMARCD3/CORO1A/KITLG/TNFSF13B/THY1/CCR2/IL16/NCKAP1L/TLR6/CD1D/CD40/VAV1/PTPRC/LILRB1/CD226/IL15/CCL19/IGF1/AIF1/TYROBP/SASH3/IL6ST/AXL/PDCD1LG2/HAVCR2/CD28/FYN/LEF1/LGALS1/FCGR3A/HLA-DRA/SPN/CD86/TGFB1/CD74/CD4/CLEC7A/KLRK1/SLAMF1/HLA-DMA/HLA-DMB/B2M/PRKCQ/CCL5/LILRB4/HLA-DOA/RASAL3/HLX/SELP/CD3E/HLA-DPB1/CD209/CD2/ICOS/ANXA1/JAK2/CCR7/CD83/HLA-DPA1/CD38/SPI1/SIRPG/IL2RA/CD274/RASGRP1/BCL2/RHOH/ZAP70/CAV1/CD70/CD6/CCL2/CD5/HLA-A/IL23A/LILRB2/IL12RB1/CD27/HLA-DRB1/DOCK8/TREM2/EBI3/SIRPB1/PLEK/LILRA5/LCK/CCL3/CCL21/PLA2G4A/HLA-DOB/IL4I1/VNN1",98
"GO:1903037","regulation of leukocyte cell-cell adhesion","98/1059","392/18986",0.25,4.48205854579792,16.9313723471608,1.01596076451155e-37,8.66275878540178e-35,6.20805498735739e-35,"VCAM1/TWSG1/CXCL12/SMARCD3/CORO1A/ITGA4/TNFAIP8L2/PTAFR/KITLG/TNFSF13B/THY1/CCR2/LAPTM5/RIPOR2/NCKAP1L/GPNMB/CD1D/VAV1/PTPRC/LILRB1/IL15/CCL19/IGF1/AIF1/VSIG4/SASH3/IL6ST/PDCD1LG2/HAVCR2/CD28/FYN/LEF1/TIGIT/LGALS1/HLA-DRA/SPN/CD300A/CD86/ETS1/TGFB1/CD74/CD4/KLRK1/SLAMF1/HLA-DMA/HLA-DMB/ITGB2/B2M/PRKCQ/CCL5/FGL2/CTSG/LILRB4/HLA-DOA/RASAL3/HLX/SELP/CD3E/HLA-DPB1/CD209/CHST2/ICOS/ANXA1/JAK2/CCR7/CD83/HLA-DPA1/SIRPG/IL2RA/CD274/PTPN22/RASGRP1/RHOH/ZAP70/CAV1/CD70/CD6/CCL2/CD5/HLA-A/IL23A/LILRB2/IL12RB1/CD27/HLA-DRB1/DOCK8/JAK3/CTLA4/EBI3/SIRPB1/LCK/HFE/CCL21/CD69/LAX1/HLA-DOB/IL4I1/VNN1",98
"GO:0002696","positive regulation of leukocyte activation","93/1059","371/18986",0.250673854447439,4.494139566137,16.5194336544369,6.40000492012613e-36,4.67748931019504e-33,3.35206272733824e-33,"BTK/MEF2C/VCAM1/LRRK2/SMARCD3/CORO1A/KITLG/TNFSF13B/THY1/CCR2/IL16/NCKAP1L/TLR6/CD1D/CD40/VAV1/PTPRC/LILRB1/CD226/IL15/CCL19/IGF1/AIF1/TYROBP/SASH3/IL6ST/AXL/PDCD1LG2/HAVCR2/CD28/FYN/LEF1/LGALS1/FCGR3A/HLA-DRA/SPN/CD86/TGFB1/CD74/CD4/CLEC7A/KLRK1/SLAMF1/HLA-DMA/HLA-DMB/B2M/PRKCQ/CCL5/LILRB4/HLA-DOA/RASAL3/HLX/CD3E/HLA-DPB1/CD209/CD2/ICOS/ANXA1/JAK2/CCR7/CD83/HLA-DPA1/CD38/SPI1/SIRPG/IL2RA/CD274/RASGRP1/BCL2/RHOH/ZAP70/CAV1/CD70/CD6/CCL2/CD5/HLA-A/IL23A/LILRB2/IL12RB1/CD27/HLA-DRB1/DOCK8/TREM2/EBI3/SIRPB1/LCK/CCL3/CCL21/PLA2G4A/HLA-DOB/IL4I1/VNN1",93
"GO:1903039","positive regulation of leukocyte cell-cell adhesion","81/1059","284/18986",0.285211267605634,5.11333439731876,16.9749550353373,9.57514170383815e-36,6.12330311960449e-33,4.38818665190372e-33,"VCAM1/SMARCD3/CORO1A/ITGA4/PTAFR/KITLG/TNFSF13B/THY1/CCR2/NCKAP1L/CD1D/VAV1/PTPRC/LILRB1/IL15/CCL19/IGF1/AIF1/SASH3/IL6ST/PDCD1LG2/HAVCR2/CD28/FYN/LEF1/LGALS1/HLA-DRA/SPN/CD86/ETS1/TGFB1/CD74/CD4/KLRK1/SLAMF1/HLA-DMA/HLA-DMB/ITGB2/B2M/PRKCQ/CCL5/LILRB4/HLA-DOA/RASAL3/HLX/SELP/CD3E/HLA-DPB1/CD209/CHST2/ICOS/ANXA1/JAK2/CCR7/CD83/HLA-DPA1/SIRPG/IL2RA/CD274/RASGRP1/RHOH/ZAP70/CAV1/CD70/CD6/CCL2/CD5/HLA-A/IL23A/LILRB2/IL12RB1/CD27/HLA-DRB1/DOCK8/EBI3/SIRPB1/LCK/CCL21/HLA-DOB/IL4I1/VNN1",81
"GO:0002443","leukocyte mediated immunity","106/1059","485/18986",0.218556701030928,3.91833571838829,15.8236981537542,4.05829189733509e-35,2.30691348297404e-32,1.65321996238809e-32,"BTK/RFTN1/CADM1/KIT/CD84/CFI/MR1/FES/C1S/C1R/CORO1A/KLRD1/PTAFR/LAT2/CCR2/HLA-B/FCGR2B/NCKAP1L/IL1R1/SCIMP/BTN3A3/CD1D/CD40/HCST/TLR8/SLAMF6/C7/FCER1G/VAV1/PTPRC/LILRB1/CD226/GZMM/MILR1/TYROBP/SASH3/HAVCR2/PIK3CD/PIK3CG/RAC2/S100A13/CD28/SERPING1/RSAD2/FCMR/CSF2RB/IL18R1/FCGR3A/BST2/C1QB/HLA-DRA/SPN/CD300A/C1QA/SH2D1A/TGFB1/CD74/C1QC/CD96/CLEC7A/KLRK1/SLAMF1/ITGAM/LAT/ITGB2/B2M/MICB/WAS/CTSG/LILRB4/FGR/FCGR1A/SLAMF7/CD2/C3/NKG7/MYO1G/GRP/SPI1/CD8A/BTN3A2/CD274/RASGRP1/PLCG2/CD70/SLA2/IL2RB/HLA-A/IL23A/HLA-F/IL12RB1/BATF/CD27/HLA-DRB1/PTGDS/TLR3/JAK3/FCER1A/TREM2/CD7/C4B/HFE/CCL3/PRF1/IL4I1/TAP2",106
"GO:0046651","lymphocyte proliferation","82/1059","297/18986",0.276094276094276,4.94988283845696,16.6751165452129,4.85128951726293e-35,2.48191971703172e-32,1.77863593564493e-32,"BTK/MEF2C/VCAM1/TWSG1/MSN/CORO1A/KITLG/TNFSF13B/CD180/CCR2/RIPOR2/FCGR2B/NCKAP1L/RASSF5/GPNMB/CD1D/CD40/GAPT/MS4A1/PTPRC/LILRB1/GJA1/IL15/CCL19/LST1/IGF1/AIF1/TNFSF8/TYROBP/VSIG4/SASH3/IL6ST/PDCD1LG2/HAVCR2/PIK3CG/RAC2/CD28/FYN/LEF1/MNDA/LIPA/DOCK2/FCGR3A/PLCL2/SPN/CD300A/CD86/TGFB1/CD74/SLAMF1/HLA-DMB/PRKCQ/CCL5/LILRB4/RASAL3/CD3E/HLA-DPB1/CD209/BTN3A1/ANXA1/JAK2/HLA-DPA1/CD38/IL2RA/CD274/PTPN22/RASGRP1/BCL2/ZAP70/CD70/CD6/HLA-A/IL23A/LILRB2/IL12RB1/IKZF3/HLA-DRB1/DOCK8/CTLA4/EBI3/CD79A/IL4I1",82
