"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0007159","leukocyte cell-cell adhesion","107/875","430/18986",0.248837209302326,5.39934086378738,20.2823265431432,6.33490524504102e-49,3.04962338496275e-45,2.3032381806707e-45,"FGL2/ITGA4/PTPRC/NCKAP1L/AIF1/CYLD/TNFSF13B/TNFAIP8L2/PTAFR/CCL19/HLA-DRA/TIGIT/CD28/SELL/CD80/PECAM1/PDCD1LG2/HLA-DOA/PTPN22/TWSG1/CD1D/CCR7/IL2RA/HLA-DMB/HLA-DMA/CD209/LCK/ICOS/CORO1A/CD86/SASH3/LAPTM5/PDE5A/IL6ST/IDO1/RIPOR2/KLRK1/ITGB7/SLAMF1/CCR2/CD3E/IL15/HAVCR2/ANXA1/VSIG4/RAC2/SELP/SIRPG/SELPLG/CD274/LILRB1/RASGRP1/CAV1/HLA-DPA1/HLA-DQA1/ETS1/HLA-DRB1/JAK2/IL12RB1/RHOH/CD300A/CCL5/CD27/GPNMB/CD74/KITLG/JAM2/CD6/VAV1/HLA-E/CD83/LILRB4/CD4/SPN/HLA-DQB1/B2M/CTLA4/SMARCD3/LILRB2/CTSG/HAS2/IL7R/CD69/SIRPB1/CCL21/EBI3/VCAM1/ITGB2/HLA-DOB/CHST2/ZAP70/LGALS1/ITGAL/ADA/FYN/HLA-DPB1/RASAL3/LAX1/CCL2/VNN1/SKAP1/CXCL12/PRKCQ/HLA-DRB5/DOCK8/ADORA2A/JAK3",107
"GO:1903037","regulation of leukocyte cell-cell adhesion","100/875","392/18986",0.255102040816327,5.53527696793003,19.9433700001555,9.0846727154731e-47,1.87476179968961e-43,1.41592006999933e-43,"FGL2/ITGA4/PTPRC/NCKAP1L/AIF1/CYLD/TNFSF13B/TNFAIP8L2/PTAFR/CCL19/HLA-DRA/TIGIT/CD28/CD80/PDCD1LG2/HLA-DOA/PTPN22/TWSG1/CD1D/CCR7/IL2RA/HLA-DMB/HLA-DMA/CD209/LCK/ICOS/CORO1A/CD86/SASH3/LAPTM5/PDE5A/IL6ST/IDO1/RIPOR2/KLRK1/SLAMF1/CCR2/CD3E/IL15/HAVCR2/ANXA1/VSIG4/SELP/SIRPG/CD274/LILRB1/RASGRP1/CAV1/HLA-DPA1/HLA-DQA1/ETS1/HLA-DRB1/JAK2/IL12RB1/RHOH/CD300A/CCL5/CD27/GPNMB/CD74/KITLG/CD6/VAV1/HLA-E/CD83/LILRB4/CD4/SPN/HLA-DQB1/B2M/CTLA4/SMARCD3/LILRB2/CTSG/HAS2/IL7R/CD69/SIRPB1/CCL21/EBI3/VCAM1/ITGB2/HLA-DOB/CHST2/ZAP70/LGALS1/ADA/FYN/HLA-DPB1/RASAL3/LAX1/CCL2/VNN1/SKAP1/CXCL12/PRKCQ/HLA-DRB5/DOCK8/ADORA2A/JAK3",100
"GO:0050863","regulation of T cell activation","100/875","393/18986",0.254452926208651,5.52119229371138,19.9073123732744,1.16831852909614e-46,1.87476179968961e-43,1.41592006999933e-43,"FGL2/PTPRC/NCKAP1L/AIF1/CYLD/TNFSF13B/TNFAIP8L2/CCL19/HLA-DRA/TIGIT/CD28/CD80/PDCD1LG2/HLA-DOA/PTPN22/TWSG1/CD1D/CCR7/IL2RA/HLA-DMB/HLA-DMA/CD209/TNFSF8/CLC/LCK/ICOS/CORO1A/CD86/SASH3/LAPTM5/PDE5A/IL6ST/IDO1/RIPOR2/KLRK1/BATF/SLAMF1/CCR2/CD3E/IL15/HAVCR2/ANXA1/SIT1/VSIG4/RAC2/ZEB1/SIRPG/CD2/CD274/LILRB1/RASGRP1/CAV1/HLA-DPA1/HLA-DQA1/HLA-DRB1/JAK2/IL12RB1/RHOH/CD300A/CCL5/CD27/LAT/GPNMB/CD74/KITLG/CD6/VAV1/HLA-E/CD83/LILRB4/CD4/SPN/HLA-DQB1/B2M/CTLA4/SMARCD3/LILRB2/CTSG/IL7R/CD69/SIRPB1/CCL21/EBI3/VCAM1/HLA-DOB/ZAP70/LGALS1/ADA/FYN/HLA-DPB1/RASAL3/LAX1/CCL2/VNN1/PRKCQ/HLA-DRB5/DOCK8/ADORA2A/TOX/JAK3",100
"GO:0002768","immune response-regulating cell surface receptor signaling pathway","95/875","369/18986",0.257452574525745,5.58627951993806,19.5549615253934,8.42734895203238e-45,1.0142314463771e-41,7.66001665271575e-42,"LIPA/PTPRC/NCKAP1L/CYLD/CD72/MEF2C/SCIMP/CD247/TRAT1/CD226/LY96/BTK/TLR1/SH2D1A/CD28/PRKCB/CD33/KIT/CD38/PTPN22/C3AR1/SLA2/KLHL6/CCR7/CD3D/FCER1G/LCK/LAT2/ITK/LAPTM5/RFTN1/TYROBP/CD40/CMKLR1/KLRK1/FPR3/CD200R1/CD3E/CD3G/KLRD1/MS4A1/TLR6/GBP1/CLEC7A/THEMIS2/LILRB1/MNDA/FCMR/CD79B/BTN3A3/NFAM1/HLA-DRB1/FCGR3A/PLCL2/CD300A/LPXN/LAT/HCK/CD14/VAV1/FCGR1A/BCL2/LILRB4/HLA-DQB1/PIK3CD/CTLA4/LILRB2/PLCG2/CD8B/FPR1/NMI/FCGR2B/FGR/ZAP70/MYO1G/TLR2/TLR5/BANK1/CD8A/IFI35/ADA/PDE4B/FYN/HLA-DPB1/PIK3AP1/CLEC4E/CD79A/LAX1/BTN3A2/SKAP1/BTN3A1/PRKCQ/FCER1A/TREM2/CMTM3",95
"GO:0070661","leukocyte proliferation","91/875","341/18986",0.266862170087977,5.79045161290323,19.6205223580486,2.48410617455869e-44,2.39169742486511e-41,1.80633741619489e-41,"LIPA/PTPRC/NCKAP1L/AIF1/GAPT/LST1/MEF2C/CD180/TNFSF13B/HHEX/CCL19/BTK/CD28/KIT/CD80/PDCD1LG2/CD38/PTPN22/TWSG1/CD1D/IL2RA/HLA-DMB/CD209/TNFSF8/CLC/CSF2RA/PIK3CG/BST2/CORO1A/CD86/SASH3/PDE5A/IL6ST/TYROBP/IDO1/CD40/RIPOR2/DOCK2/SLAMF1/CCR2/RASSF5/CD3E/IL15/HAVCR2/ANXA1/VSIG4/MS4A1/RAC2/CD274/LILRB1/MNDA/RASGRP1/HLA-DPA1/HLA-DRB1/GREM1/JAK2/IL12RB1/FCGR3A/GPR183/PLCL2/CD300A/CCL5/IKZF3/CSF2RB/GPNMB/CD74/KITLG/CD6/HLA-E/BCL2/LILRB4/BST1/SPN/CTLA4/LILRB2/IL7R/CSF1R/EBI3/VCAM1/FCGR2B/ZAP70/ADA/FYN/HLA-DPB1/RASAL3/CD79A/CCL8/BTN3A1/PRKCQ/DOCK8/TREM2",91
"GO:0050867","positive regulation of cell activation","97/875","391/18986",0.248081841432225,5.38295067592254,19.2484154001243,3.30483178428049e-44,2.65157670158771e-41,2.002612102264e-41,"PTPRC/NCKAP1L/AIF1/CYLD/MEF2C/TNFSF13B/CD226/CCL19/HLA-DRA/BTK/CTSC/CD28/IL16/CD80/PDCD1LG2/CD38/HLA-DOA/CD1D/CCR7/IL2RA/HLA-DMB/HLA-DMA/CD209/LCK/ICOS/CORO1A/CD86/SASH3/IL6ST/LRRK2/TYROBP/CD40/KLRK1/SLAMF1/CCR2/CD3E/IL15/HAVCR2/ANXA1/TLR6/SELP/SIRPG/CLEC7A/CD2/CD274/LILRB1/RASGRP1/CAV1/HLA-DPA1/HLA-DQA1/HLA-DRB1/JAK2/IL12RB1/RHOH/ACTA2/FCGR3A/GPR183/LILRA5/CCL5/CD27/CD74/KITLG/CD6/VAV1/HLA-E/CD83/BCL2/LILRB4/BST1/CD4/SPN/HLA-DQB1/DDR2/B2M/SMARCD3/LILRB2/IL7R/SIRPB1/CCL21/EBI3/VCAM1/SPI1/HLA-DOB/ZAP70/LGALS1/ADA/FYN/HLA-DPB1/RASAL3/CCL2/PLEK/VNN1/PRKCQ/HLA-DRB5/DOCK8/TREM2/TOX",97
"GO:0002696","positive regulation of leukocyte activation","92/875","371/18986",0.247978436657682,5.38070696958028,18.7299988278236,6.46557353154424e-42,4.39189647388301e-39,3.31699438497189e-39,"PTPRC/NCKAP1L/AIF1/CYLD/MEF2C/TNFSF13B/CD226/CCL19/HLA-DRA/BTK/CTSC/CD28/IL16/CD80/PDCD1LG2/CD38/HLA-DOA/CD1D/CCR7/IL2RA/HLA-DMB/HLA-DMA/CD209/LCK/ICOS/CORO1A/CD86/SASH3/IL6ST/LRRK2/TYROBP/CD40/KLRK1/SLAMF1/CCR2/CD3E/IL15/HAVCR2/ANXA1/TLR6/SIRPG/CLEC7A/CD2/CD274/LILRB1/RASGRP1/CAV1/HLA-DPA1/HLA-DQA1/HLA-DRB1/JAK2/IL12RB1/RHOH/FCGR3A/GPR183/CCL5/CD27/CD74/KITLG/CD6/VAV1/HLA-E/CD83/BCL2/LILRB4/BST1/CD4/SPN/HLA-DQB1/B2M/SMARCD3/LILRB2/IL7R/SIRPB1/CCL21/EBI3/VCAM1/SPI1/HLA-DOB/ZAP70/LGALS1/ADA/FYN/HLA-DPB1/RASAL3/CCL2/VNN1/PRKCQ/HLA-DRB5/DOCK8/TREM2/TOX",92
"GO:1903039","positive regulation of leukocyte cell-cell adhesion","81/875","284/18986",0.285211267605634,6.18859557344064,19.3643568125499,7.29854004799836e-42,4.39189647388301e-39,3.31699438497189e-39,"ITGA4/PTPRC/NCKAP1L/AIF1/CYLD/TNFSF13B/PTAFR/CCL19/HLA-DRA/CD28/CD80/PDCD1LG2/HLA-DOA/CD1D/CCR7/IL2RA/HLA-DMB/HLA-DMA/CD209/LCK/ICOS/CORO1A/CD86/SASH3/IL6ST/KLRK1/SLAMF1/CCR2/CD3E/IL15/HAVCR2/ANXA1/SELP/SIRPG/CD274/LILRB1/RASGRP1/CAV1/HLA-DPA1/HLA-DQA1/ETS1/HLA-DRB1/JAK2/IL12RB1/RHOH/CCL5/CD27/CD74/KITLG/CD6/VAV1/HLA-E/CD83/LILRB4/CD4/SPN/HLA-DQB1/B2M/SMARCD3/LILRB2/HAS2/IL7R/SIRPB1/CCL21/EBI3/VCAM1/ITGB2/HLA-DOB/CHST2/ZAP70/LGALS1/ADA/FYN/HLA-DPB1/RASAL3/CCL2/VNN1/SKAP1/PRKCQ/HLA-DRB5/DOCK8",81
"GO:0046651","lymphocyte proliferation","82/875","297/18986",0.276094276094276,5.99077248677249,19.0542156812893,3.39282414997838e-41,1.81478393977733e-38,1.37062159228366e-38,"LIPA/PTPRC/NCKAP1L/AIF1/GAPT/LST1/MEF2C/CD180/TNFSF13B/CCL19/BTK/CD28/CD80/PDCD1LG2/CD38/PTPN22/TWSG1/CD1D/IL2RA/HLA-DMB/CD209/TNFSF8/CLC/PIK3CG/CORO1A/CD86/SASH3/PDE5A/IL6ST/TYROBP/IDO1/CD40/RIPOR2/DOCK2/SLAMF1/CCR2/RASSF5/CD3E/IL15/HAVCR2/ANXA1/VSIG4/MS4A1/RAC2/CD274/LILRB1/MNDA/RASGRP1/HLA-DPA1/HLA-DRB1/JAK2/IL12RB1/FCGR3A/GPR183/PLCL2/CD300A/CCL5/IKZF3/GPNMB/CD74/KITLG/CD6/HLA-E/BCL2/LILRB4/BST1/SPN/CTLA4/LILRB2/IL7R/EBI3/VCAM1/FCGR2B/ZAP70/ADA/FYN/HLA-DPB1/RASAL3/CD79A/BTN3A1/PRKCQ/DOCK8",82
"GO:0032943","mononuclear cell proliferation","82/875","305/18986",0.268852459016393,5.833637470726,18.7051866444589,3.05435655735697e-40,1.47036724671164e-37,1.11049974201168e-37,"LIPA/PTPRC/NCKAP1L/AIF1/GAPT/LST1/MEF2C/CD180/TNFSF13B/CCL19/BTK/CD28/CD80/PDCD1LG2/CD38/PTPN22/TWSG1/CD1D/IL2RA/HLA-DMB/CD209/TNFSF8/CLC/PIK3CG/CORO1A/CD86/SASH3/PDE5A/IL6ST/TYROBP/IDO1/CD40/RIPOR2/DOCK2/SLAMF1/CCR2/RASSF5/CD3E/IL15/HAVCR2/ANXA1/VSIG4/MS4A1/RAC2/CD274/LILRB1/MNDA/RASGRP1/HLA-DPA1/HLA-DRB1/JAK2/IL12RB1/FCGR3A/GPR183/PLCL2/CD300A/CCL5/IKZF3/GPNMB/CD74/KITLG/CD6/HLA-E/BCL2/LILRB4/BST1/SPN/CTLA4/LILRB2/IL7R/EBI3/VCAM1/FCGR2B/ZAP70/ADA/FYN/HLA-DPB1/RASAL3/CD79A/BTN3A1/PRKCQ/DOCK8",82
